date_key,date,year,quarter,month,month_name,week_of_year,day,day_name,day_of_week,is_weekend
20210210,2021-02-10,2021,1,2,February,6,10,Wednesday,4,false
20210211,2021-02-11,2021,1,2,February,6,11,Thursday,5,false
20210212,2021-02-12,2021,1,2,February,6,12,Friday,6,false
20210213,2021-02-13,2021,1,2,February,6,13,Saturday,7,true
20210214,2021-02-14,2021,1,2,February,6,14,Sunday,1,true
20210215,2021-02-15,2021,1,2,February,7,15,Monday,2,false
20210216,2021-02-16,2021,1,2,February,7,16,Tuesday,3,false
20210217,2021-02-17,2021,1,2,February,7,17,Wednesday,4,false
20210218,2021-02-18,2021,1,2,February,7,18,Thursday,5,false
20210219,2021-02-19,2021,1,2,February,7,19,Friday,6,false
20210220,2021-02-20,2021,1,2,February,7,20,Saturday,7,true
20210221,2021-02-21,2021,1,2,February,7,21,Sunday,1,true
20210222,2021-02-22,2021,1,2,February,8,22,Monday,2,false
20210223,2021-02-23,2021,1,2,February,8,23,Tuesday,3,false
20210224,2021-02-24,2021,1,2,February,8,24,Wednesday,4,false
20210225,2021-02-25,2021,1,2,February,8,25,Thursday,5,false
20210226,2021-02-26,2021,1,2,February,8,26,Friday,6,false
20210227,2021-02-27,2021,1,2,February,8,27,Saturday,7,true
20210228,2021-02-28,2021,1,2,February,8,28,Sunday,1,true
20210301,2021-03-01,2021,1,3,March,9,1,Monday,2,false
20210302,2021-03-02,2021,1,3,March,9,2,Tuesday,3,false
20210303,2021-03-03,2021,1,3,March,9,3,Wednesday,4,false
20210304,2021-03-04,2021,1,3,March,9,4,Thursday,5,false
20210305,2021-03-05,2021,1,3,March,9,5,Friday,6,false
20210306,2021-03-06,2021,1,3,March,9,6,Saturday,7,true
20210307,2021-03-07,2021,1,3,March,9,7,Sunday,1,true
20210308,2021-03-08,2021,1,3,March,10,8,Monday,2,false
20210309,2021-03-09,2021,1,3,March,10,9,Tuesday,3,false
20210310,2021-03-10,2021,1,3,March,10,10,Wednesday,4,false
20210311,2021-03-11,2021,1,3,March,10,11,Thursday,5,false
20210312,2021-03-12,2021,1,3,March,10,12,Friday,6,false
20210313,2021-03-13,2021,1,3,March,10,13,Saturday,7,true
20210314,2021-03-14,2021,1,3,March,10,14,Sunday,1,true
20210315,2021-03-15,2021,1,3,March,11,15,Monday,2,false
20210316,2021-03-16,2021,1,3,March,11,16,Tuesday,3,false
20210317,2021-03-17,2021,1,3,March,11,17,Wednesday,4,false
20210318,2021-03-18,2021,1,3,March,11,18,Thursday,5,false
20210319,2021-03-19,2021,1,3,March,11,19,Friday,6,false
20210320,2021-03-20,2021,1,3,March,11,20,Saturday,7,true
20210321,2021-03-21,2021,1,3,March,11,21,Sunday,1,true
20210322,2021-03-22,2021,1,3,March,12,22,Monday,2,false
20210323,2021-03-23,2021,1,3,March,12,23,Tuesday,3,false
20210324,2021-03-24,2021,1,3,March,12,24,Wednesday,4,false
20210325,2021-03-25,2021,1,3,March,12,25,Thursday,5,false
20210326,2021-03-26,2021,1,3,March,12,26,Friday,6,false
20210327,2021-03-27,2021,1,3,March,12,27,Saturday,7,true
20210328,2021-03-28,2021,1,3,March,12,28,Sunday,1,true
20210329,2021-03-29,2021,1,3,March,13,29,Monday,2,false
20210330,2021-03-30,2021,1,3,March,13,30,Tuesday,3,false
20210331,2021-03-31,2021,1,3,March,13,31,Wednesday,4,false
20210401,2021-04-01,2021,2,4,April,13,1,Thursday,5,false
20210402,2021-04-02,2021,2,4,April,13,2,Friday,6,false
20210403,2021-04-03,2021,2,4,April,13,3,Saturday,7,true
20210404,2021-04-04,2021,2,4,April,13,4,Sunday,1,true
20210405,2021-04-05,2021,2,4,April,14,5,Monday,2,false
20210406,2021-04-06,2021,2,4,April,14,6,Tuesday,3,false
20210407,2021-04-07,2021,2,4,April,14,7,Wednesday,4,false
20210408,2021-04-08,2021,2,4,April,14,8,Thursday,5,false
20210409,2021-04-09,2021,2,4,April,14,9,Friday,6,false
20210410,2021-04-10,2021,2,4,April,14,10,Saturday,7,true
20210411,2021-04-11,2021,2,4,April,14,11,Sunday,1,true
20210412,2021-04-12,2021,2,4,April,15,12,Monday,2,false
20210413,2021-04-13,2021,2,4,April,15,13,Tuesday,3,false
